Periodo,Entidad federativa,Número de casos confirmados de paludismo con prueba de gota gruesa positiva que fueron registrados,Población Total,Tasa de incidencia asociada al paludismo por 100 mil habitantes
2004,Sonora,49,2460302,1.991625418
2004,Tabasco,153,2092064,7.31335179
2004,Tamaulipas,0,3022458,0
2004,Tlaxcala,0,1082473,0
2004,Veracruz de Ignacio de la Llave,0,7372393,0
2004,Yucatán,5,1823186,0.274245195
2004,Zacatecas,0,1432635,0
2005,Nacional,2967,107151011,2.768989273
2005,Aguascalientes,0,1096736,0
2005,Baja California,0,2912674,0
2005,Baja California Sur,0,546776,0
2005,Campeche,1,768097,0.13019189
2005,Coahuila de Zaragoza,0,2587518,0
2005,Colima,0,593827,0
2005,Chiapas,852,4549034,18.72925109
2005,Chihuahua,181,3270309,5.534645197
2005,Distrito Federal,0,8980415,0
2005,Durango,114,1566228,7.278633762
2005,Guanajuato,0,5307620,0
2005,Guerrero,0,3306347,0
2005,Hidalgo,0,2504490,0
2005,Jalisco,2,6903508,0.028970778
2005,México,0,14233514,0
2005,Michoacán de Ocampo,0,4233917,0
2005,Morelos,0,1681965,0
2005,Nayarit,37,997581,3.708972003
2005,Nuevo León,0,4330486,0
2005,Oaxaca,1432,3749560,38.19114776
2005,Puebla,0,5545664,0
2005,Querétaro,0,1692334,0
2005,Quintana Roo,11,1134284,0.969774765
2005,San Luis Potosí,0,2477675,0
2005,Sinaloa,208,2689158,7.734763075
2005,Sonora,29,2501653,1.159233515
2005,Tabasco,97,2120331,4.574757432
2005,Tamaulipas,0,3075303,0
2005,Tlaxcala,0,1098660,0
2005,Veracruz de Ignacio de la Llave,2,7409930,0.026990808
2005,Yucatán,1,1848087,0.054110007
2005,Zacatecas,0,1437330,0
2006,Nacional,2514,108408827,2.318999356
2006,Aguascalientes,0,1114099,0
2006,Baja California,0,2977440,0
2006,Baja California Sur,0,565024,0
2006,Campeche,0,781620,0
2006,Coahuila de Zaragoza,0,2625332,0
2006,Colima,0,605061,0
2006,Chiapas,1373,4616199,29.74308517
2006,Chihuahua,125,3322439,3.762296313
2006,Distrito Federal,0,8977954,0
2006,Durango,133,1585478,8.38863737
2006,Guanajuato,0,5333508,0
2006,Guerrero,0,3325479,0
2006,Hidalgo,0,2531941,0
2006,Jalisco,2,7000916,0.02856769
2006,México,0,14497023,0
2006,Michoacán de Ocampo,0,4258725,0
2006,Morelos,0,1704544,0
2006,Nayarit,24,1015912,2.362409343
2006,Nuevo León,0,4408836,0
2006,Oaxaca,623,3753744,16.59676313
2006,Puebla,0,5590760,0
2006,Querétaro,0,1716842,0
2006,Quintana Roo,21,1174644,1.787775701
2006,San Luis Potosí,0,2499894,0
2006,Sinaloa,103,2721660,3.784455075
2006,Sonora,17,2542078,0.668744232
2006,Tabasco,93,2147091,4.331441937
2006,Tamaulipas,0,3129386,0
2006,Tlaxcala,0,1113144,0
2006,Veracruz de Ignacio de la Llave,0,7451476,0
2006,Yucatán,0,1872573,0
2006,Zacatecas,0,1448005,0
2007,Nacional,2361,109787388,2.15052024
2007,Aguascalientes,0,1133032,0
2007,Baja California,0,3041783,0
2007,Baja California Sur,0,584639,0
2007,Campeche,0,795450,0
2007,Coahuila de Zaragoza,0,2664019,0
2007,Colima,0,617146,0
2007,Chiapas,1548,4688014,33.02037921
2007,Chihuahua,156,3376544,4.620108608
2007,Distrito Federal,0,8973450,0
2007,Durango,45,1605415,2.803013551
2007,Guanajuato,0,5377044,0
2007,Guerrero,0,3349840,0
2007,Hidalgo,0,2565231,0
2007,Jalisco,2,7101648,0.028162477
2007,México,0,14765300,0
2007,Michoacán de Ocampo,0,4290259,0
2007,Morelos,0,1727522,0
2007,Nayarit,38,1035898,3.668314834
2007,Nuevo León,0,4487206,0
