Periodo,Entidad federativa,Casos confirmados de tuberculosis,Población total,Tasa de incidencia asociada a la tuberculosis (todas las formas) por 100 mil habitantes
1999,Coahuila de Zaragoza,503,2354430,21.36398194
1999,Colima,143,544150,26.27951852
1999,Chiapas,1690,4083410,41.38697804
1999,Chihuahua,665,2926998,22.71952355
1999,Distrito Federal,982,8928176,10.99888712
1999,Durango,321,1488305,21.56815975
1999,Guanajuato,319,5114053,6.237714001
1999,Guerrero,1023,3215867,31.81101706
1999,Hidalgo,435,2374982,18.31592829
1999,Jalisco,1144,6452167,17.73047722
1999,México,1115,12678984,8.79408003
1999,Michoacán de Ocampo,507,4158671,12.1913948
1999,Morelos,309,1577729,19.58511253
1999,Nayarit,299,930087,32.14753028
1999,Nuevo León,1096,3876894,28.2700533
1999,Oaxaca,1075,3654932,29.41231191
1999,Puebla,700,5188507,13.49135695
1999,Querétaro,195,1527014,12.77002045
1999,Quintana Roo,152,900778,16.87430199
1999,San Luis Potosí,471,2378237,19.80458634
1999,Sinaloa,786,2508118,31.33823847
1999,Sonora,499,2247827,22.19921729
1999,Tabasco,489,1946169,25.12628657
1999,Tamaulipas,1003,2729528,36.74627994
1999,Tlaxcala,50,993724,5.031578185
1999,Veracruz de Ignacio de la Llave,2172,7209103,30.12857494
1999,Yucatán,176,1695601,10.37980044
1999,Zacatecas,102,1419786,7.184181278
1998,Estados Unidos Mexicanos,21514,98485424,21.84485696
1998,Aguascalientes,139,974940,14.25728763
1998,Baja California,1143,2387650,47.87133793
1998,Baja California Sur,93,439911,21.14063981
1998,Campeche,157,673672,23.30510991
1998,Coahuila de Zaragoza,621,2315412,26.8202808
1998,Colima,182,538560,33.79382056
1998,Chiapas,2037,3994325,50.99735249
1998,Chihuahua,597,2868346,20.81338862
1998,Distrito Federal,1178,8912913,13.21677885
1998,Durango,377,1482259,25.43415152
1998,Guanajuato,364,5074849,7.172627205
1998,Guerrero,1032,3204303,32.20669206
1998,Hidalgo,373,2359558,15.80804541
1998,Jalisco,1040,6401411,16.24641817
1998,México,1211,12424077,9.747202951
1998,Michoacán de Ocampo,514,4160121,12.35540985
1998,Morelos,245,1566306,15.64189884
1998,Nayarit,331,925239,35.77454042
1998,Nuevo León,1434,3806709,37.67033414
1998,Oaxaca,1153,3623477,31.82026545
1998,Puebla,788,5113198,15.41109889
1998,Querétaro,184,1495409,12.30432611
1998,Quintana Roo,191,862418,22.14703311
1998,San Luis Potosí,513,2367678,21.6667976
1998,Sinaloa,810,2481249,32.64484943
1998,Sonora,448,2203557,20.33076521
1998,Tabasco,573,1914591,29.92806296
1998,Tamaulipas,1094,2671744,40.94703684
1998,Tlaxcala,61,973084,6.268729113
1998,Veracruz de Ignacio de la Llave,2324,7173835,32.39550394
1998,Yucatán,224,1668680,13.42378407
1998,Zacatecas,83,1425943,5.820709523
1997,Estados Unidos Mexicanos,23575,97204604,24.25296645
1997,Aguascalientes,143,957443,14.93561497
1997,Baja California,1312,2306424,56.88459711
1997,Baja California Sur,124,426653,29.06343094
1997,Campeche,135,659417,20.47262961
1997,Coahuila de Zaragoza,677,2276268,29.74166487
1997,Colima,197,531965,37.03251154
1997,Chiapas,1355,3907302,34.67866062
1997,Chihuahua,737,2810765,26.22061965
1997,Distrito Federal,1331,8895216,14.96309927
1997,Durango,448,1472961,30.41492612
1997,Guanajuato,486,5034272,9.653828796
1997,Guerrero,1527,3188433,47.89186412
1997,Hidalgo,514,2343436,21.93360518
1997,Jalisco,1044,6338294,16.47130916
1997,México,1591,12154856,13.08941875
1997,Michoacán de Ocampo,561,4152556,13.50975158
1997,Morelos,375,1550963,24.1785265
1997,Nayarit,359,918289,39.0944463
1997,Nuevo León,1368,3735127,36.62526067
1997,Oaxaca,1152,3596113,32.03458846
1997,Puebla,991,5042096,19.65452463
1997,Querétaro,131,1465233,8.940557577
1997,Quintana Roo,233,825084,28.23954894
1997,San Luis Potosí,448,2352995,19.03956447
1997,Sinaloa,935,2451312,38.14283943
